_id,expert_userId,intitule,localisation,date_debut,date_fin,HT_TTC,replacement_or_creation,presentiel_distanciel,isClosed,forfait_remuneration,status,createdAt,updatedAt,hours_planned,note_communication,note_quality,note_level
64ffffd7ca076d68b3b61db5,64d10f2397d6b324b741c595,Algèbre : systèmes linéaires,Bordeaux,05/02/2024,01/04/2024,TTC,Création de poste,,FAUX,hourly,pending,12/09/2023,1694498781946,"24,5",,,
64fb441018cd730cf4f4d278,64996e8de0843b7be97f4173,CEJM,Toulouse,02/10/2023,31/07/2024,TTC,Création,,FAUX,hourly,pending,08/09/2023,1695507000392,40 Heures/Groupe,,,
64fb2dcc18cd730cf4f4d228,62da63a8f5e6794d89e1deba,Tourisme et event,Bordeaux,29/09/2023,09/02/2023,TTC,Création de poste,,FAUX,hourly,pending,08/09/2023,1696000500568,18,,,
64fb1f3e18cd730cf4f4d1f7,627cd57ef655943d90a63792,"Sensibilisation, Typologie",Bordeaux,24/03/2024,09/04/2024,TTC,Création,,FAUX,hourly,pending,08/09/2023,1695218719981,63,,,
64fb1f3018cd730cf4f4d1f6,627cd57ef655943d90a63792,Hacking,Bordeaux,24/03/2024,09/04/2024,TTC,Création,,FAUX,hourly,proposed,08/09/2023,1694179120660,30,,,
64fb1f2818cd730cf4f4d1f5,627cd57ef655943d90a63792,"Cybersécurité - Principes fondamentaux, Linux Kali (Services et ports à risques)",Bordeaux,24/03/2024,09/04/2024,HT,Création,,FAUX,hourly,proposed,08/09/2023,1694179112352,"25,5",,,
64fb153c18cd730cf4f4d1e5,63a2fc67783ece5a08668cfa,Architecture Client/Serveur Microsoft et Active Directory,Bordeaux,01/09/2023,31/01/2024,TTC,créa,,FAUX,hourly,pending,08/09/2023,1694176576152,30,,,
64fb150e18cd730cf4f4d1e3,63a2fc67783ece5a08668cfa,Cahier des charges,Bordeaux,01/09/2023,31/01/2024,TTC,créa,,FAUX,hourly,pending,08/09/2023,1694176530290,15,,,
64faf18b18cd730cf4f4d15c,64f1e06c88afda3cddd6fac7,Logiciel bureautique (Excel),Bordeaux,,,TTC,Création,,FAUX,hourly,pending,08/09/2023,1696249598069,30,,,
64faea9518cd730cf4f4d12c,61588bf824bf9a154545d177,Atelier : Développer et sécuriser une solution Cloud,Toulouse,01/02/2024,28/06/2024,TTC,Création,,FAUX,hourly,pending,08/09/2023,1694165658404,14 Heures,,,
64fae72d18cd730cf4f4d10a,61588bf824bf9a154545d177,Développement et services Cloud,Toulouse,01/02/2024,28/06/2024,TTC,Création,,FAUX,hourly,pending,08/09/2023,1694164787553,14 Heures,,,
64f9ed2918cd730cf4f4cf12,64df86cf911dbb2585e10f8c,STRATEGIC MANAGEMENT,Lyon,03/11/2023,08/04/2024,HT,Remplacement,,FAUX,hourly,pending,07/09/2023,1698271800515,28 Heures,,,
64f9a19618cd730cf4f4cdda,605ca3d6c44cfd5b8e6c638b,Atelier prise de parole,Bordeaux,01/04/2023,01/04/2023,TTC,Création de poste,,VRAI,hourly,terminated,07/09/2023,1694081439239,3,,,
64f99c2418cd730cf4f4cdbf,6373d065231df95a4ccc0aaa,Introduction à la RSE,Bordeaux,01/10/2023,29/02/2024,TTC,création,,FAUX,hourly,pending,07/09/2023,1695420600398,18,,,
64f995e218cd730cf4f4cd93,5de8e65b9209a135389958ce,Accompagnement Pro,Bordeaux,13/03/2023,16/04/2023,TTC,Création de poste,,VRAI,hourly,terminated,07/09/2023,1694078497692,6,,,
64f9951418cd730cf4f4cd8d,5dd64d397c188c7874a9d4fe,Culture & médias spécialisés,Bordeaux,10/10/2022,02/12/2022,TTC,REMPLACEMENT,,FAUX,hourly,pending,07/09/2023,1694078232933,18,5,5,4
64f9933618cd730cf4f4cd8a,648bf6b4bf50bf6e8c8e498d,Techniques de négociation,Bordeaux,29/09/2023,09/02/2023,TTC,Création de poste,,FAUX,hourly,pending,07/09/2023,1695247800458,18,,,
64f8a00b18cd730cf4f4cb07,62d28ea2c43a1c07852b7659,Jury Soutenance I1 DEV,Bordeaux,05/09/2023,28/09/2023,TTC,Création,,FAUX,hourly,pending,06/09/2023,1695721482239,,,,
64f8486418cd730cf4f4ca39,634ea5d10fd435728656c0a9,Gestion de la relation client,,01/09/2023,30/06/2024,,création,,FAUX,hourly,proposed,06/09/2023,1693993060056,15,,,
64f847f318cd730cf4f4ca37,634ea5d10fd435728656c0a9,Organisation & Management de la structure,Bordeaux,01/09/2023,24/06/2024,TTC,Création de poste,,FAUX,hourly,proposed,06/09/2023,1693992947169,45,,,
