_id,civility,howWeMet,mailing,createdAt,updatedAt,validatedEmail,data
656dbf85843c536c576b944a,female,parrainage,True,04/11/2023,2023-12-04 12:11:42.456,True,user
656db268843c536c576b943b,male,bouche à oreille,False,04/11/2023,2023-12-04 11:27:42.124,True,user
656c999b843c536c576b92b7,female,bouche à oreille,True,03/11/2023,2023-12-03 15:21:17.948,True,user
656a3826843c536c576b8f55,male,bouche à oreille,False,01/11/2023,2023-12-04 09:00:54.743,True,user
656a0b86843c536c576b8ef4,male,bouche à oreille,False,01/11/2023,2023-12-01 16:42:46.622,True,user
656997ac11ad9c29f93180b1,male,linkedin,True,01/11/2023,2023-12-01 10:33:16.475,True,user
6569016711ad9c29f9317f81,female,recherche web,True,30/10/2023,2023-11-30 21:57:19.050,True,user
6568c29411ad9c29f9317ea0,male,bouche à oreille,True,30/10/2023,2023-11-30 17:12:52.007,True,user
65687d2711ad9c29f9317dd7,male,entreprise partenaire,True,30/10/2023,2023-11-30 12:22:35.122,True,user
65684ae76df3a711cd4951e5,male,linkedin,True,30/10/2023,2023-11-30 08:48:27.423,True,user
65679f206df3a711cd495148,female,bouche à oreille,True,29/10/2023,2023-11-29 20:34:14.508,True,user
6567845a6df3a711cd49512e,male,bouche à oreille,False,29/10/2023,2023-12-01 14:45:32.452,True,user
6567795f6df3a711cd495124,female,linkedin,True,29/10/2023,2023-12-01 13:59:55.952,True,user
65675f556df3a711cd4950df,female,bouche à oreille,False,29/10/2023,2023-11-30 14:16:18.806,True,user
6567044c6df3a711cd495028,female,linkedin,False,29/10/2023,2023-11-29 09:28:44.772,,user
6566fc106df3a711cd494ff6,male,autre,False,29/10/2023,2023-12-01 08:36:40.108,True,user
6565ad256df3a711cd494dcd,female,linkedin,False,28/10/2023,2023-11-28 09:08:06.858,True,user
6564bb866df3a711cd494c47,male,bouche à oreille,False,27/10/2023,2023-11-30 14:27:07.739,True,user
6564ba586df3a711cd494c42,male,linkedin,False,27/10/2023,2023-11-30 07:40:34.379,True,user
